feature,importance
sensor_11,0.2102357314657256
sensor_04,0.11565882729785287
sensor_12,0.11111641274106082
sensor_15,0.09244909322112031
sensor_07,0.07603785606629726
sensor_21,0.06495204245044062
sensor_20,0.06480766755624187
sensor_09,0.053493391598391046
sensor_14,0.050910224297340156
sensor_02,0.038855573586063015
sensor_03,0.03038110083921138
sensor_17,0.028687046951016447
sensor_13,0.026856543549251904
sensor_08,0.022278542261058257
op_setting_1,0.0076077611750239756
op_setting_2,0.0055779034218250475
sensor_06,9.428152207945439e-05
sensor_05,0.0
sensor_16,0.0
sensor_01,0.0
sensor_18,0.0
sensor_19,0.0
op_setting_3,0.0
sensor_10,0.0
